test_type,context,metric,comparison,bonf_p,sig_95,sig_99
between_configs,edca,tn,config_ii vs config_iii,0.0004304682451209586,True,True
between_configs,edca,tn,config_ii vs config_iv,0.0014826421472039055,True,True
between_configs,edca,tn,config_iii vs config_iv,1.0,False,False
between_configs,edca,fn,config_i vs config_ii,0.47718363736433167,False,False
between_configs,edca,fn,config_i vs config_iii,3.79491967983578e-05,True,True
between_configs,edca,fn,config_i vs config_iv,0.0003456680407928427,True,True
between_configs,edca,fn,config_ii vs config_iii,5.843232983185909e-05,True,True
between_configs,edca,fn,config_ii vs config_iv,0.0003314757019699288,True,True
between_configs,edca,fn,config_iii vs config_iv,1.0,False,False
within_config,config_iv,roc_auc,all_data vs all_features,0.08888773425827044,False,False
within_config,config_iv,roc_auc,all_data vs all_samples,1.0,False,False
within_config,config_iv,roc_auc,all_data vs edca,0.6129375775309169,False,False
within_config,config_iv,roc_auc,all_data vs selected_image,4.838008881642749e-05,True,True
within_config,config_iv,roc_auc,all_data vs selected_tabular,0.1039809356866333,False,False
within_config,config_iv,roc_auc,all_data vs all_tabular,0.028767834246043424,True,False
within_config,config_iv,roc_auc,all_data vs all_image,4.8197620502937904e-05,True,True
within_config,config_iv,roc_auc,all_features vs all_samples,0.7665906178704027,False,False
within_config,config_iv,roc_auc,all_features vs edca,1.0,False,False
within_config,config_iv,roc_auc,all_features vs selected_image,4.8502054528035195e-05,True,True
within_config,config_iv,roc_auc,all_features vs selected_tabular,1.0,False,False
within_config,config_iv,roc_auc,all_features vs all_tabular,1.0,False,False
within_config,config_iv,roc_auc,all_features vs all_image,4.8502054528035195e-05,True,True
within_config,config_iv,roc_auc,all_samples vs edca,1.0,False,False
within_config,config_iv,roc_auc,all_samples vs selected_image,4.8441039620123486e-05,True,True
within_config,config_iv,roc_auc,all_samples vs selected_tabular,0.14851117807235095,False,False
within_config,config_iv,roc_auc,all_samples vs all_tabular,0.29130446997410175,False,False
within_config,config_iv,roc_auc,all_samples vs all_image,4.841055620854811e-05,True,True
within_config,config_iv,roc_auc,edca vs selected_image,4.8502054528035195e-05,True,True
within_config,config_iv,roc_auc,edca vs selected_tabular,1.0,False,False
within_config,config_iv,roc_auc,edca vs all_tabular,1.0,False,False
within_config,config_iv,roc_auc,edca vs all_image,4.8532586037574956e-05,True,True
within_config,config_iv,roc_auc,selected_image vs selected_tabular,4.8471539057752406e-05,True,True
within_config,config_iv,roc_auc,selected_image vs all_tabular,4.8319202064162504e-05,True,True
within_config,config_iv,roc_auc,selected_image vs all_image,1.0,False,False
within_config,config_iv,roc_auc,selected_tabular vs all_tabular,1.0,False,False
within_config,config_iv,roc_auc,selected_tabular vs all_image,4.8502054528035195e-05,True,True
within_config,config_iv,roc_auc,all_tabular vs all_image,4.741355114913411e-05,True,True
within_config,config_iv,f1,all_data vs all_features,1.0,False,False
within_config,config_iv,f1,all_data vs all_samples,1.0,False,False
within_config,config_iv,f1,all_data vs edca,1.0,False,False
within_config,config_iv,f1,all_data vs selected_image,4.82583793105742e-05,True,True
